,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
LLOY.L,0.01154065,0.009290892,0.002067602,0.002708115,0.000598768,0.001004736,0.000573028,0.001413485,0.002236119,0.002436114,0.00248395,0.003794963,0.001004528,0.00457054,0.000867016
BARC.L,0.009290892,0.014044001,0.001935379,0.003638162,0.000163815,0.001045613,0.000510813,0.001118823,0.002172402,0.002219837,0.002385739,0.004513792,0.0010661,0.004676072,0.001279736
VOD.L,0.002067602,0.001935379,0.005034147,0.001300109,0.000675092,0.001381676,0.001184564,0.001245711,0.001591607,0.001664057,0.001354969,0.001572934,0.000458489,0.001552555,0.000958355
RIO.L,0.002708115,0.003638162,0.001300109,0.009002052,8.47E-05,0.001035582,0.000411575,0.000988514,0.002671843,0.001415432,0.00157986,0.002405709,0.001069948,0.001630918,0.00078003
NG.L,0.000598768,0.000163815,0.000675092,8.47E-05,0.00243552,0.001099572,0.000732833,0.000805139,0.000404292,0.000623138,0.000603056,0.000708573,0.000255146,0.001074168,0.000986879
BATS.L,0.001004736,0.001045613,0.001381676,0.001035582,0.001099572,0.003746177,0.001088858,0.001220206,0.001381015,0.000809736,0.001155624,0.002758769,0.00114949,0.001457763,0.001428988
GSK.L,0.000573028,0.000510813,0.001184564,0.000411575,0.000732833,0.001088858,0.002539096,0.00076926,0.001042705,0.00084046,0.00057533,0.00084284,0.000400198,0.00083109,0.001360869
Relx,0.001413485,0.001118823,0.001245711,0.000988514,0.000805139,0.001220206,0.00076926,0.002940681,0.001262461,0.001385433,0.00118395,0.001939068,0.000651665,0.000887991,0.001157872
BP.L,0.002236119,0.002172402,0.001591607,0.002671843,0.000404292,0.001381015,0.001042705,0.001262461,0.005155844,0.001046895,0.001071034,0.001560845,0.000333451,0.00153056,0.001428345
SGE.L,0.002436114,0.002219837,0.001664057,0.001415432,0.000623138,0.000809736,0.00084046,0.001385433,0.001046895,0.004824648,0.001754156,0.001584837,0.001592932,0.001624698,0.001042705
SMIN.L,0.00248395,0.002385739,0.001354969,0.00157986,0.000603056,0.001155624,0.00057533,0.00118395,0.001071034,0.001754156,0.004066059,0.00291998,0.000918106,0.001740606,0.001006372
ASC.L,0.003794963,0.004513792,0.001572934,0.002405709,0.000708573,0.002758769,0.00084284,0.001939068,0.001560845,0.001584837,0.00291998,0.033722733,0.003264449,0.003900095,0.001301226
DOM.L,0.001004528,0.0010661,0.000458489,0.001069948,0.000255146,0.00114949,0.000400198,0.000651665,0.000333451,0.001592932,0.000918106,0.003264449,0.007966638,0.001407197,0.000770992
LAND.L,0.00457054,0.004676072,0.001552555,0.001630918,0.001074168,0.001457763,0.00083109,0.000887991,0.00153056,0.001624698,0.001740606,0.003900095,0.001407197,0.005487581,0.001195869
TSCO.L,0.000867016,0.001279736,0.000958355,0.00078003,0.000986879,0.001428988,0.001360869,0.001157872,0.001428345,0.001042705,0.001006372,0.001301226,0.000770992,0.001195869,0.004498012